time	reading
1405525733	49.983341
1405525734	49.982498
1405525735	49.981762
1405525737	49.980984
1405525738	49.980305
1405525739	49.979794
1405525740	49.97924
1405525741	49.9785
1405525742	49.978024
1405525743	49.977871
1405525744	49.97794
1405525745	49.978359
1405525746	49.979069
1405525747	49.979851
1405525748	49.980648
1405525749	49.981586
1405525750	49.982666
1405525751	49.983845
1405525752	49.984997
1405525753	49.986027
1405525754	49.986679
1405525755	49.987106
1405525756	49.987377
1405525757	49.987431
1405525758	49.987377
1405525759	49.987301
1405525760	49.987
1405525761	49.986469
1405525762	49.985985
1405525763	49.985779
1405525764	49.985542
1405525765	49.985172
1405525766	49.984837
1405525767	49.984558
1405525768	49.984283
1405525769	49.984104
1405525770	49.983906
1405525771	49.983635
1405525772	49.983337
1405525773	49.983074
1405525774	49.98275
1405525775	49.982407
1405525776	49.982052
1405525777	49.981632
1405525778	49.981068
1405525779	49.980381
1405525780	49.979782
1405525781	49.979301
1405525782	49.97887
1405525783	49.97834
1405525784	49.977806
1405525785	49.977329
1405525786	49.976994
1405525787	49.976707
1405525788	49.976662
1405525789	49.976582
1405525790	49.976387
1405525791	49.976303
1405525792	49.976524
1405525793	49.976833
1405525794	49.977222
1405525795	49.977722
1405525796	49.977726
1405525797	49.977474
1405525799	49.977066
1405525800	49.976528
1405525801	49.976151
1405525802	49.975925
1405525803	49.975307
1405525804	49.974472
1405525805	49.97393
1405525806	49.973682
1405525807	49.97377
1405525808	49.974022
1405525809	49.974205
1405525810	49.97448
1405525811	49.974945
1405525812	49.97538
1405525813	49.97583
1405525814	49.976463
1405525815	49.976982
1405525816	49.977043
1405525817	49.97699
1405525818	49.976921
1405525819	49.976776
1405525820	49.976589
1405525821	49.976349
1405525822	49.976105
1405525823	49.976131
1405525824	49.976315
1405525825	49.976482
1405525826	49.976814
1405525827	49.977367
1405525828	49.977989
1405525829	49.978634
1405525830	49.979534
1405525831	49.980762
1405525832	49.981815
1405525833	49.982784
1405525834	49.983639
1405525835	49.984299
1405525836	49.984753
1405525837	49.984898
1405525838	49.984955
1405525839	49.984928
1405525840	49.984974
1405525841	49.985023
1405525842	49.985138
1405525843	49.9855
1405525844	49.986168
1405525845	49.987251
1405525846	49.988419
1405525847	49.989578
1405525848	49.990593
1405525849	49.991367
1405525850	49.992149
1405525851	49.992859
1405525852	49.993511
1405525853	49.994125
1405525854	49.994713
1405525855	49.995434
1405525856	49.995972
1405525858	49.996834
1405525859	49.997452
1405525860	49.997654
1405525861	49.997456
1405525862	49.997082
1405525863	49.996563
1405525864	49.996105
1405525865	49.995701
1405525866	49.995323
1405525867	49.994961
1405525868	49.994759
1405525869	49.994724
1405525870	49.994766
1405525871	49.994713
1405525872	49.994392
1405525873	49.993748
1405525874	49.992825
1405525875	49.991955
1405525876	49.991138
1405525877	49.990536
1405525878	49.989956
1405525879	49.989395
1405525880	49.988701
1405525881	49.9879
1405525882	49.987129
1405525883	49.986355
1405525884	49.985596
1405525885	49.984955
1405525886	49.984589
1405525887	49.984245
1405525888	49.983677
